#Auto Generated Topology File
#Topology Matrix:  10 * 10  Nodes
#Radio Range:  5.0
-n 100 

0   1   -50
0   2   -50
0   3   -50
0   4   -50
0   5   -50
0   10   -50
0   11   -50
0   12   -50
0   13   -50
0   14   -50
0   20   -50
0   21   -50
0   22   -50
0   23   -50
0   24   -50
0   30   -50
0   31   -50
0   32   -50
0   33   -50
0   34   -50
0   40   -50
0   41   -50
0   42   -50
0   43   -50
0   50   -50

1   0   -50
1   2   -50
1   3   -50
1   4   -50
1   5   -50
1   6   -50
1   10   -50
1   11   -50
1   12   -50
1   13   -50
1   14   -50
1   15   -50
1   20   -50
1   21   -50
1   22   -50
1   23   -50
1   24   -50
1   25   -50
1   30   -50
1   31   -50
1   32   -50
1   33   -50
1   34   -50
1   35   -50
1   40   -50
1   41   -50
1   42   -50
1   43   -50
1   44   -50
1   51   -50

2   0   -50
2   1   -50
2   3   -50
2   4   -50
2   5   -50
2   6   -50
2   7   -50
2   10   -50
2   11   -50
2   12   -50
2   13   -50
2   14   -50
2   15   -50
2   16   -50
2   20   -50
2   21   -50
2   22   -50
2   23   -50
2   24   -50
2   25   -50
2   26   -50
2   30   -50
2   31   -50
2   32   -50
2   33   -50
2   34   -50
2   35   -50
2   36   -50
2   40   -50
2   41   -50
2   42   -50
2   43   -50
2   44   -50
2   45   -50
2   52   -50

3   0   -50
3   1   -50
3   2   -50
3   4   -50
3   5   -50
3   6   -50
3   7   -50
3   8   -50
3   10   -50
3   11   -50
3   12   -50
3   13   -50
3   14   -50
3   15   -50
3   16   -50
3   17   -50
3   20   -50
3   21   -50
3   22   -50
3   23   -50
3   24   -50
3   25   -50
3   26   -50
3   27   -50
3   30   -50
3   31   -50
3   32   -50
3   33   -50
3   34   -50
3   35   -50
3   36   -50
3   37   -50
3   40   -50
3   41   -50
3   42   -50
3   43   -50
3   44   -50
3   45   -50
3   46   -50
3   53   -50

4   0   -50
4   1   -50
4   2   -50
4   3   -50
4   5   -50
4   6   -50
4   7   -50
4   8   -50
4   9   -50
4   10   -50
4   11   -50
4   12   -50
4   13   -50
4   14   -50
4   15   -50
4   16   -50
4   17   -50
4   18   -50
4   20   -50
4   21   -50
4   22   -50
4   23   -50
4   24   -50
4   25   -50
4   26   -50
4   27   -50
4   28   -50
4   30   -50
4   31   -50
4   32   -50
4   33   -50
4   34   -50
4   35   -50
4   36   -50
4   37   -50
4   38   -50
4   41   -50
4   42   -50
4   43   -50
4   44   -50
4   45   -50
4   46   -50
4   47   -50
4   54   -50

5   0   -50
5   1   -50
5   2   -50
5   3   -50
5   4   -50
5   6   -50
5   7   -50
5   8   -50
5   9   -50
5   11   -50
5   12   -50
5   13   -50
5   14   -50
5   15   -50
5   16   -50
5   17   -50
5   18   -50
5   19   -50
5   21   -50
5   22   -50
5   23   -50
5   24   -50
5   25   -50
5   26   -50
5   27   -50
5   28   -50
5   29   -50
5   31   -50
5   32   -50
5   33   -50
5   34   -50
5   35   -50
5   36   -50
5   37   -50
5   38   -50
5   39   -50
5   42   -50
5   43   -50
5   44   -50
5   45   -50
5   46   -50
5   47   -50
5   48   -50
5   55   -50

6   1   -50
6   2   -50
6   3   -50
6   4   -50
6   5   -50
6   7   -50
6   8   -50
6   9   -50
6   12   -50
6   13   -50
6   14   -50
6   15   -50
6   16   -50
6   17   -50
6   18   -50
6   19   -50
6   22   -50
6   23   -50
6   24   -50
6   25   -50
6   26   -50
6   27   -50
6   28   -50
6   29   -50
6   32   -50
6   33   -50
6   34   -50
6   35   -50
6   36   -50
6   37   -50
6   38   -50
6   39   -50
6   43   -50
6   44   -50
6   45   -50
6   46   -50
6   47   -50
6   48   -50
6   49   -50
6   56   -50

7   2   -50
7   3   -50
7   4   -50
7   5   -50
7   6   -50
7   8   -50
7   9   -50
7   13   -50
7   14   -50
7   15   -50
7   16   -50
7   17   -50
7   18   -50
7   19   -50
7   23   -50
7   24   -50
7   25   -50
7   26   -50
7   27   -50
7   28   -50
7   29   -50
7   33   -50
7   34   -50
7   35   -50
7   36   -50
7   37   -50
7   38   -50
7   39   -50
7   44   -50
7   45   -50
7   46   -50
7   47   -50
7   48   -50
7   49   -50
7   57   -50

8   3   -50
8   4   -50
8   5   -50
8   6   -50
8   7   -50
8   9   -50
8   14   -50
8   15   -50
8   16   -50
8   17   -50
8   18   -50
8   19   -50
8   24   -50
8   25   -50
8   26   -50
8   27   -50
8   28   -50
8   29   -50
8   34   -50
8   35   -50
8   36   -50
8   37   -50
8   38   -50
8   39   -50
8   45   -50
8   46   -50
8   47   -50
8   48   -50
8   49   -50
8   58   -50

9   4   -50
9   5   -50
9   6   -50
9   7   -50
9   8   -50
9   15   -50
9   16   -50
9   17   -50
9   18   -50
9   19   -50
9   25   -50
9   26   -50
9   27   -50
9   28   -50
9   29   -50
9   35   -50
9   36   -50
9   37   -50
9   38   -50
9   39   -50
9   46   -50
9   47   -50
9   48   -50
9   49   -50
9   59   -50

10   0   -50
10   1   -50
10   2   -50
10   3   -50
10   4   -50
10   11   -50
10   12   -50
10   13   -50
10   14   -50
10   15   -50
10   20   -50
10   21   -50
10   22   -50
10   23   -50
10   24   -50
10   30   -50
10   31   -50
10   32   -50
10   33   -50
10   34   -50
10   40   -50
10   41   -50
10   42   -50
10   43   -50
10   44   -50
10   50   -50
10   51   -50
10   52   -50
10   53   -50
10   60   -50

11   0   -50
11   1   -50
11   2   -50
11   3   -50
11   4   -50
11   5   -50
11   10   -50
11   12   -50
11   13   -50
11   14   -50
11   15   -50
11   16   -50
11   20   -50
11   21   -50
11   22   -50
11   23   -50
11   24   -50
11   25   -50
11   30   -50
11   31   -50
11   32   -50
11   33   -50
11   34   -50
11   35   -50
11   40   -50
11   41   -50
11   42   -50
11   43   -50
11   44   -50
11   45   -50
11   50   -50
11   51   -50
11   52   -50
11   53   -50
11   54   -50
11   61   -50

12   0   -50
12   1   -50
12   2   -50
12   3   -50
12   4   -50
12   5   -50
12   6   -50
12   10   -50
12   11   -50
12   13   -50
12   14   -50
12   15   -50
12   16   -50
12   17   -50
12   20   -50
12   21   -50
12   22   -50
12   23   -50
12   24   -50
12   25   -50
12   26   -50
12   30   -50
12   31   -50
12   32   -50
12   33   -50
12   34   -50
12   35   -50
12   36   -50
12   40   -50
12   41   -50
12   42   -50
12   43   -50
12   44   -50
12   45   -50
12   46   -50
12   50   -50
12   51   -50
12   52   -50
12   53   -50
12   54   -50
12   55   -50
12   62   -50

13   0   -50
13   1   -50
13   2   -50
13   3   -50
13   4   -50
13   5   -50
13   6   -50
13   7   -50
13   10   -50
13   11   -50
13   12   -50
13   14   -50
13   15   -50
13   16   -50
13   17   -50
13   18   -50
13   20   -50
13   21   -50
13   22   -50
13   23   -50
13   24   -50
13   25   -50
13   26   -50
13   27   -50
13   30   -50
13   31   -50
13   32   -50
13   33   -50
13   34   -50
13   35   -50
13   36   -50
13   37   -50
13   40   -50
13   41   -50
13   42   -50
13   43   -50
13   44   -50
13   45   -50
13   46   -50
13   47   -50
13   50   -50
13   51   -50
13   52   -50
13   53   -50
13   54   -50
13   55   -50
13   56   -50
13   63   -50

14   0   -50
14   1   -50
14   2   -50
14   3   -50
14   4   -50
14   5   -50
14   6   -50
14   7   -50
14   8   -50
14   10   -50
14   11   -50
14   12   -50
14   13   -50
14   15   -50
14   16   -50
14   17   -50
14   18   -50
14   19   -50
14   20   -50
14   21   -50
14   22   -50
14   23   -50
14   24   -50
14   25   -50
14   26   -50
14   27   -50
14   28   -50
14   30   -50
14   31   -50
14   32   -50
14   33   -50
14   34   -50
14   35   -50
14   36   -50
14   37   -50
14   38   -50
14   40   -50
14   41   -50
14   42   -50
14   43   -50
14   44   -50
14   45   -50
14   46   -50
14   47   -50
14   48   -50
14   51   -50
14   52   -50
14   53   -50
14   54   -50
14   55   -50
14   56   -50
14   57   -50
14   64   -50

15   1   -50
15   2   -50
15   3   -50
15   4   -50
15   5   -50
15   6   -50
15   7   -50
15   8   -50
15   9   -50
15   10   -50
15   11   -50
15   12   -50
15   13   -50
15   14   -50
15   16   -50
15   17   -50
15   18   -50
15   19   -50
15   21   -50
15   22   -50
15   23   -50
15   24   -50
15   25   -50
15   26   -50
15   27   -50
15   28   -50
15   29   -50
15   31   -50
15   32   -50
15   33   -50
15   34   -50
15   35   -50
15   36   -50
15   37   -50
15   38   -50
15   39   -50
15   41   -50
15   42   -50
15   43   -50
15   44   -50
15   45   -50
15   46   -50
15   47   -50
15   48   -50
15   49   -50
15   52   -50
15   53   -50
15   54   -50
15   55   -50
15   56   -50
15   57   -50
15   58   -50
15   65   -50

16   2   -50
16   3   -50
16   4   -50
16   5   -50
16   6   -50
16   7   -50
16   8   -50
16   9   -50
16   11   -50
16   12   -50
16   13   -50
16   14   -50
16   15   -50
16   17   -50
16   18   -50
16   19   -50
16   22   -50
16   23   -50
16   24   -50
16   25   -50
16   26   -50
16   27   -50
16   28   -50
16   29   -50
16   32   -50
16   33   -50
16   34   -50
16   35   -50
16   36   -50
16   37   -50
16   38   -50
16   39   -50
16   42   -50
16   43   -50
16   44   -50
16   45   -50
16   46   -50
16   47   -50
16   48   -50
16   49   -50
16   53   -50
16   54   -50
16   55   -50
16   56   -50
16   57   -50
16   58   -50
16   59   -50
16   66   -50

17   3   -50
17   4   -50
17   5   -50
17   6   -50
17   7   -50
17   8   -50
17   9   -50
17   12   -50
17   13   -50
17   14   -50
17   15   -50
17   16   -50
17   18   -50
17   19   -50
17   23   -50
17   24   -50
17   25   -50
17   26   -50
17   27   -50
17   28   -50
17   29   -50
17   33   -50
17   34   -50
17   35   -50
17   36   -50
17   37   -50
17   38   -50
17   39   -50
17   43   -50
17   44   -50
17   45   -50
17   46   -50
17   47   -50
17   48   -50
17   49   -50
17   54   -50
17   55   -50
17   56   -50
17   57   -50
17   58   -50
17   59   -50
17   67   -50

18   4   -50
18   5   -50
18   6   -50
18   7   -50
18   8   -50
18   9   -50
18   13   -50
18   14   -50
18   15   -50
18   16   -50
18   17   -50
18   19   -50
18   24   -50
18   25   -50
18   26   -50
18   27   -50
18   28   -50
18   29   -50
18   34   -50
18   35   -50
18   36   -50
18   37   -50
18   38   -50
18   39   -50
18   44   -50
18   45   -50
18   46   -50
18   47   -50
18   48   -50
18   49   -50
18   55   -50
18   56   -50
18   57   -50
18   58   -50
18   59   -50
18   68   -50

19   5   -50
19   6   -50
19   7   -50
19   8   -50
19   9   -50
19   14   -50
19   15   -50
19   16   -50
19   17   -50
19   18   -50
19   25   -50
19   26   -50
19   27   -50
19   28   -50
19   29   -50
19   35   -50
19   36   -50
19   37   -50
19   38   -50
19   39   -50
19   45   -50
19   46   -50
19   47   -50
19   48   -50
19   49   -50
19   56   -50
19   57   -50
19   58   -50
19   59   -50
19   69   -50

20   0   -50
20   1   -50
20   2   -50
20   3   -50
20   4   -50
20   10   -50
20   11   -50
20   12   -50
20   13   -50
20   14   -50
20   21   -50
20   22   -50
20   23   -50
20   24   -50
20   25   -50
20   30   -50
20   31   -50
20   32   -50
20   33   -50
20   34   -50
20   40   -50
20   41   -50
20   42   -50
20   43   -50
20   44   -50
20   50   -50
20   51   -50
20   52   -50
20   53   -50
20   54   -50
20   60   -50
20   61   -50
20   62   -50
20   63   -50
20   70   -50

21   0   -50
21   1   -50
21   2   -50
21   3   -50
21   4   -50
21   5   -50
21   10   -50
21   11   -50
21   12   -50
21   13   -50
21   14   -50
21   15   -50
21   20   -50
21   22   -50
21   23   -50
21   24   -50
21   25   -50
21   26   -50
21   30   -50
21   31   -50
21   32   -50
21   33   -50
21   34   -50
21   35   -50
21   40   -50
21   41   -50
21   42   -50
21   43   -50
21   44   -50
21   45   -50
21   50   -50
21   51   -50
21   52   -50
21   53   -50
21   54   -50
21   55   -50
21   60   -50
21   61   -50
21   62   -50
21   63   -50
21   64   -50
21   71   -50

22   0   -50
22   1   -50
22   2   -50
22   3   -50
22   4   -50
22   5   -50
22   6   -50
22   10   -50
22   11   -50
22   12   -50
22   13   -50
22   14   -50
22   15   -50
22   16   -50
22   20   -50
22   21   -50
22   23   -50
22   24   -50
22   25   -50
22   26   -50
22   27   -50
22   30   -50
22   31   -50
22   32   -50
22   33   -50
22   34   -50
22   35   -50
22   36   -50
22   40   -50
22   41   -50
22   42   -50
22   43   -50
22   44   -50
22   45   -50
22   46   -50
22   50   -50
22   51   -50
22   52   -50
22   53   -50
22   54   -50
22   55   -50
22   56   -50
22   60   -50
22   61   -50
22   62   -50
22   63   -50
22   64   -50
22   65   -50
22   72   -50

23   0   -50
23   1   -50
23   2   -50
23   3   -50
23   4   -50
23   5   -50
23   6   -50
23   7   -50
23   10   -50
23   11   -50
23   12   -50
23   13   -50
23   14   -50
23   15   -50
23   16   -50
23   17   -50
23   20   -50
23   21   -50
23   22   -50
23   24   -50
23   25   -50
23   26   -50
23   27   -50
23   28   -50
23   30   -50
23   31   -50
23   32   -50
23   33   -50
23   34   -50
23   35   -50
23   36   -50
23   37   -50
23   40   -50
23   41   -50
23   42   -50
23   43   -50
23   44   -50
23   45   -50
23   46   -50
23   47   -50
23   50   -50
23   51   -50
23   52   -50
23   53   -50
23   54   -50
23   55   -50
23   56   -50
23   57   -50
23   60   -50
23   61   -50
23   62   -50
23   63   -50
23   64   -50
23   65   -50
23   66   -50
23   73   -50

24   0   -50
24   1   -50
24   2   -50
24   3   -50
24   4   -50
24   5   -50
24   6   -50
24   7   -50
24   8   -50
24   10   -50
24   11   -50
24   12   -50
24   13   -50
24   14   -50
24   15   -50
24   16   -50
24   17   -50
24   18   -50
24   20   -50
24   21   -50
24   22   -50
24   23   -50
24   25   -50
24   26   -50
24   27   -50
24   28   -50
24   29   -50
24   30   -50
24   31   -50
24   32   -50
24   33   -50
24   34   -50
24   35   -50
24   36   -50
24   37   -50
24   38   -50
24   40   -50
24   41   -50
24   42   -50
24   43   -50
24   44   -50
24   45   -50
24   46   -50
24   47   -50
24   48   -50
24   50   -50
24   51   -50
24   52   -50
24   53   -50
24   54   -50
24   55   -50
24   56   -50
24   57   -50
24   58   -50
24   61   -50
24   62   -50
24   63   -50
24   64   -50
