#Auto Generated Topology File
#Topology Matrix:  4 * 4  Nodes
#Radio Range:  3.0
-n 16 

0   1   -50
0   2   -50
0   3   -50
0   4   -50
0   5   -50
0   6   -50
0   8   -50
0   9   -50
0   10   -50
0   12   -50

1   0   -50
1   2   -50
1   3   -50
1   4   -50
1   5   -50
1   6   -50
1   7   -50
1   8   -50
1   9   -50
1   10   -50
1   11   -50
1   13   -50

2   0   -50
2   1   -50
2   3   -50
2   4   -50
2   5   -50
2   6   -50
2   7   -50
2   8   -50
2   9   -50
2   10   -50
2   11   -50
2   14   -50

3   0   -50
3   1   -50
3   2   -50
3   5   -50
3   6   -50
3   7   -50
3   9   -50
3   10   -50
3   11   -50
3   15   -50

4   0   -50
4   1   -50
4   2   -50
4   5   -50
4   6   -50
4   7   -50
4   8   -50
4   9   -50
4   10   -50
4   12   -50
4   13   -50
4   14   -50

5   0   -50
5   1   -50
5   2   -50
5   3   -50
5   4   -50
5   6   -50
5   7   -50
5   8   -50
5   9   -50
5   10   -50
5   11   -50
5   12   -50
5   13   -50
5   14   -50
5   15   -50

6   0   -50
6   1   -50
6   2   -50
6   3   -50
6   4   -50
6   5   -50
6   7   -50
6   8   -50
6   9   -50
6   10   -50
6   11   -50
6   12   -50
6   13   -50
6   14   -50
6   15   -50

7   1   -50
7   2   -50
7   3   -50
7   4   -50
7   5   -50
7   6   -50
7   9   -50
7   10   -50
7   11   -50
7   13   -50
7   14   -50
7   15   -50

8   0   -50
8   1   -50
8   2   -50
8   4   -50
8   5   -50
8   6   -50
8   9   -50
8   10   -50
8   11   -50
8   12   -50
8   13   -50
8   14   -50

9   0   -50
9   1   -50
9   2   -50
9   3   -50
9   4   -50
9   5   -50
9   6   -50
9   7   -50
9   8   -50
9   10   -50
9   11   -50
9   12   -50
9   13   -50
9   14   -50
9   15   -50

10   0   -50
10   1   -50
10   2   -50
10   3   -50
10   4   -50
10   5   -50
10   6   -50
10   7   -50
10   8   -50
10   9   -50
10   11   -50
10   12   -50
10   13   -50
10   14   -50
10   15   -50

11   1   -50
11   2   -50
11   3   -50
11   5   -50
11   6   -50
11   7   -50
11   8   -50
11   9   -50
11   10   -50
11   13   -50
11   14   -50
11   15   -50

12   0   -50
12   4   -50
12   5   -50
12   6   -50
12   8   -50
12   9   -50
12   10   -50
12   13   -50
12   14   -50
12   15   -50

13   1   -50
13   4   -50
13   5   -50
13   6   -50
13   7   -50
13   8   -50
13   9   -50
13   10   -50
13   11   -50
13   12   -50
13   14   -50
13   15   -50

14   2   -50
14   4   -50
14   5   -50
14   6   -50
14   7   -50
14   8   -50
14   9   -50
14   10   -50
14   11   -50
14   12   -50
14   13   -50
14   15   -50

15   3   -50
15   5   -50
15   6   -50
15   7   -50
15   9   -50
15   10   -50
15   11   -50
15   12   -50
15   13   -50
15   14   -50

